name,h_size,num_layers,embedding_dim,annealer,loss,ce,hib,cib
char_model_none_25_1_20,25,1,20,none,1.8655526638031006,1.8274602890014648,41.284297943115234,34.90101623535156
char_model_linear_25_1_20,25,1,20,linear,1.8536335229873657,1.8169682025909424,40.1507568359375,33.18003845214844
char_model_elbow_25_1_20,25,1,20,elbow,1.864227056503296,1.827343463897705,40.78493118286133,32.98225021362305
char_model_double_elbow_25_1_20,25,1,20,double_elbow,1.8628827333450317,1.8244054317474365,41.67036056518555,35.28289031982422
char_model_none_25_1_25,25,1,25,none,1.8712389469146729,1.8341093063354492,40.36857986450195,33.890174865722656
char_model_linear_25_1_25,25,1,25,linear,1.8578029870986938,1.819998860359192,41.84658432006836,33.761695861816406
char_model_elbow_25_1_25,25,1,25,elbow,1.8707294464111328,1.8345931768417358,41.36297607421875,30.90924072265625
char_model_double_elbow_25_1_25,25,1,25,double_elbow,1.8685086965560913,1.8312246799468994,41.48986053466797,33.07865905761719
char_model_none_25_1_30,25,1,30,none,1.8755701780319214,1.8393657207489014,38.492286682128906,33.916175842285156
char_model_linear_25_1_30,25,1,30,linear,1.8602875471115112,1.8220560550689697,41.10380172729492,35.35882568359375
char_model_elbow_25_1_30,25,1,30,elbow,1.8557713031768799,1.817674994468689,41.229793548583984,34.963401794433594
char_model_double_elbow_25_1_30,25,1,30,double_elbow,1.8592009544372559,1.820959448814392,41.076210021972656,35.4072265625
